model:model/t1c0.1-t2c0.01-lr0.15-decay0.95-gau3-ep10-gr10.pkl
input_data:sample_data/input.dat
output_dir:output/out1.txt
dataset length: 3000
features per example: 136
(誤差平均, 誤差分散), ニューロン使用率, 階層数, マップ数, ニューロン数
(113.1063, 43.39544),1.1905,4,18,150
header layer 0 1 2 3 (y,x)
[730001-735000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[735001-740000] 2 root root(0,3) None None (0,0)
[740001-745000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,1)
[745001-750000] 2 root root(0,3) None None (0,0)
[750001-755000] 2 root root root(0,0) root(0,3) (0,0)
[755001-760000] 3 root root(0,3) root(0,3)(2,0) None (1,2)
[760001-765000] 2 root root(0,3) None None (1,1)
[765001-770000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[770001-775000] 2 root root(0,3) None None (1,0)
[775001-780000] 3 root root(0,3) root(0,3)(2,0) None (1,2)
[780001-785000] 3 root root(0,3) root(0,3)(2,0) None (1,0)
[785001-790000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[790001-795000] 3 root root(0,3) root(0,3)(2,0) None (1,0)
[795001-800000] 3 root root(0,3) root(0,3)(2,0) None (1,2)
[800001-805000] 3 root root(0,3) root(0,3)(2,0) None (1,0)
[805001-810000] 3 root root(0,3) root(0,3)(2,0) None (1,1)
[810001-815000] 3 root root(0,3) root(0,3)(2,0) None (1,0)
[815001-820000] 2 root root(0,3) None None (0,0)
[820001-825000] 2 root root(0,3) None None (1,0)
[825001-830000] 3 root root(0,3) root(0,3)(2,0) None (1,0)
[830001-835000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,0)
[835001-840000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,0)
[840001-845000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[845001-850000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[850001-855000] 3 root root(0,3) root(0,3)(2,0) None (0,3)
[855001-860000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[860001-865000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[865001-870000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[870001-875000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[875001-880000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[880001-885000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[885001-890000] 2 root root(0,3) None None (0,0)
[890001-895000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[895001-900000] 3 root root(0,3) root(0,3)(2,0) None (1,4)
[900001-905000] 2 root root(0,3) None None (1,1)
[905001-910000] 2 root root(0,3) None None (0,0)
[910001-915000] 3 root root(0,3) root(0,3)(2,0) None (1,3)
[915001-920000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[920001-925000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[925001-930000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,0) (2,0)
[930001-935000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,0) (3,0)
[935001-940000] 2 root root(0,3) None None (0,0)
[940001-945000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[945001-950000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[950001-955000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,2)
[955001-960000] 2 root root(0,3) None None (0,0)
[960001-965000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,0) (2,0)
[965001-970000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,0)
[970001-975000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,3)
[975001-980000] 2 root root(0,3) None None (0,0)
[980001-985000] 2 root root(0,3) None None (0,0)
[985001-990000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[990001-995000] 2 root root(0,3) None None (1,1)
[995001-1000000] 2 root root(0,3) None None (0,0)
[1000001-1005000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (1,1)
[1005001-1010000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,0) (2,0)
[1010001-1015000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,0) (2,0)
[1015001-1020000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1020001-1025000] 3 root root(0,3) root(0,3)(0,1) None (1,1)
[1025001-1030000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,0)
[1030001-1035000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,0)
[1035001-1040000] 2 root root(0,3) None None (0,0)
[1040001-1045000] 2 root root(0,3) None None (0,0)
[1045001-1050000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,3)
[1050001-1055000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,0)
[1055001-1060000] 2 root root(0,3) None None (2,1)
[1060001-1065000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,2)
[1065001-1070000] 4 root root(0,3) root(0,3)(0,1) root(0,3)(0,1)(0,1) (0,0)
